CountryName,CountryCode,Y1990,Y2000,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
Afghanistan,AFG,0,0,10298.59191,12147.30131,12806.40998,13175.18945,14591.55554,14666.33861,14589.06975,14351.5162,14301.37026,14311.6195
Albania,ALB,109941.2235,131956.6805,213087.6901,221720.83,231091.2379,237622.8237,241395.3285,244258.2025,249107.4797,255377.1483,264360.1192,274767.7468
Algeria,DZA,108082.039,107809.2292,133670.3621,133534.5533,135889.6782,137153.9349,138965.8883,139933.5823,142359.0244,144907.6125,146981.825,146904.3213
American Samoa,ASM,0,0,12414.51867,12058.26382,12240.05608,12346.34852,11823.28445,11481.36764,11562.67475,11685.90309,11367.11092,0
Andorra,AND,20879.87121,23809.90977,25618.58313,24497.52551,23188.31484,22295.13677,22286.27579,22819.47814,23800.28527,24372.6767,25068.64559,25643.08452
Angola,AGO,33357.27828,27935.74173,58126.5838,57443.2493,57342.52592,57474.47771,58336.39267,60165.28446,60837.61378,60550.90338,58069.49355,56582.31381
Antigua and Barbuda,ATG,25067.30389,28935.01268,36896.80356,32047.27669,29400.55884,28471.07053,29147.2695,28805.33816,29953.15904,30842.41666,32155.49162,32886.8437
Argentina,ARG,9401.534117,12951.67587,16026.19795,14923.57172,16265.41541,17062.76644,16711.17541,16934.84662,16339.72293,16617.3258,16154.60106,16458.25283
Armenia,ARM,334279.5453,261242.3743,675123.04,583533.162,598707.4096,627223.7798,670904.4674,690269.0324,711990.9867,732071.8298,731563.2018,784918.4731
Aruba,ABW,0,36776.44106,32492.18079,30625.01848,0,0,0,0,0,0,0,0
Australia,AUS,44151.9827,54504.04636,63676.65606,63577.03638,63880.80838,64543.48482,65868.86432,66429.08392,67090.18642,67669.55753,68548.0605,68787.21122
Austria,AUT,25587.71505,31712.80247,36282.53982,34825.30881,35379.92903,36291.47474,36372.20491,36167.68416,36183.52079,36170.83853,36300.95936,37094.77987
Azerbaijan,AZE,1119.20067,586.2013269,1888.491065,2023.755072,2096.897375,2071.116458,2088.741369,2181.420208,2197.447971,2195.312737,2103.610748,2083.377716
Bahamas,BHS,30380.37373,32339.72272,30466.82307,28686.31219,28645.32525,28369.90681,28815.5274,28301.61171,27895.25053,27846.54041,27068.59357,27170.8641
Bahrain,BHR,6743.470362,8631.124081,8107.941037,7819.68205,7791.519121,7713.55638,7866.379227,8196.677692,8418.90546,8436.022758,8381.576667,8313.92404
Bangladesh,BGD,21038.13001,26821.05686,36788.71042,38221.22336,39901.47112,41994.30537,44211.53465,46321.66118,48564.01901,51169.84283,54220.94149,57563.5473
Barbados,BRB,4793.891313,5137.131728,5708.842396,5457.836197,5452.690308,5470.664748,5467.902129,5450.018304,5433.171202,5466.021856,5560.102811,5638.710978
Belarus,BLR,101.0974222,91.5246187,181.1916266,181.9592469,196.4750321,207.748165,211.5388618,213.6710798,217.1574976,208.5088796,202.9860757,207.7635539
Belgium,BEL,24995.88035,30330.47203,33944.07822,32913.36979,33509.02833,33641.81067,33476.86352,33380.34355,33732.88716,34016.56103,34322.75743,34791.6628
Belize,BLZ,4993.815049,6728.847421,7686.37826,7549.738317,7614.467924,7595.557911,7708.454385,7594.717896,7733.143301,7856.962938,7655.395499,7563.767578
Benin,BEN,274117.3751,312309.2489,345053.3499,343309.2155,340853.5405,341250.1393,347820.3668,362568.6207,375017.7899,372406.191,376618.4472,386854.297
Bermuda,BMU,57888.18356,73000.67925,86612.58101,81582.11957,80501.65837,78488.22873,74423.94827,72328.45649,0,0,0,0
Bhutan,BTN,22615.16435,34417.90184,54389.04344,56913.07257,62437.38327,66193.5693,68400.07597,68770.10723,71645.40317,75311.24506,80271.04473,84699.29793
Bolivia,BOL,2252.419255,2680.764174,3153.987847,3206.789744,3285.429011,3401.49854,3519.625542,3700.537794,3842.789718,3968.370132,4075.568233,4183.638568
Bosnia and Herzegovina,BIH,0,4434.265536,6887.464366,6711.937694,6814.718045,6941.801069,6961.499315,7210.436175,7373.087592,7664.50682,7948.521077,8212.353918
Botswana,BWA,20579.05679,26415.63581,34935.14561,31715.41865,33833.57975,35241.99296,36143.32152,39502.21733,40381.14871,38965.56079,39905.38871,40108.89918
Brazil,BRA,6223.412973,6840.712976,8303.698659,8211.683494,8745.719699,9007.732899,9096.055184,9284.343112,9249.070352,8844.997266,8468.718071,8484.558127
British Virgin Islands,VGB,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam,BRN,50547.31109,48981.55839,48895.6401,47467.13648,48088.05595,49211.57424,48948.33745,47202.96956,45423.41099,44534.44204,42856.11759,42868.33599
Bulgaria,BGR,6150.143922,5843.524469,10215.33225,9912.655655,10110.24259,10370.12774,10433.59822,10582.61294,10784.35335,11246.00184,11771.49205,12280.04671
Burkina Faso,BFA,127831.2123,162812.0624,211002.1068,210775.4952,215495.6897,222965.4523,230344.2306,236528.8771,239561.214,241680.9115,248643.2879,257845.1654
Burundi,BDI,244458.1791,169514.4039,170693.1322,170855.3846,171702.8949,173428.7299,175053.0864,177745.871,180546.3949,168237.3616,162114.3323,157854.2535
Cape Verde,CPV,73743.77579,170694.4867,264550.5954,258435.6803,259396.8222,266675.3387,266459.9505,265434.9092,263845.6153,263263.626,269946.6052,276946.4429
Cambodia,KHM,0,1166409.231,2065307.37,2036334.126,2124807.639,2239163.523,2364059.859,2496445.291,2631300.058,2771638.418,2918326.92,3069875.624
Cameroon,CMR,580049.4038,500023.2426,562257.6031,559079.7613,562638.6959,570170.1332,580186.5301,595350.8808,613823.0633,631625.5711,642716.3926,646193.8684
Canada,CAN,37589.88417,44954.53522,49973.7815,47947.6825,48878.62395,49918.56148,50193.90465,50848.24002,51736.6725,51821.14056,51927.76703,52863.719
Cayman Islands,CYM,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,CAF,195154.3993,171523.6755,181573.2826,182209.376,185891.0538,190841.5552,198059.378,125114.3144,125974.8877,131129.7596,135624.0938,139498.7852
Chad,TCD,215632.8393,192863.42,337287.4666,340239.2592,373848.2447,361934.9548,381165.7255,389748.7199,403258.8454,401404.6127,364757.0535,343352.7557
Channel Islands,CHI,0,36564.29331,0,0,0,0,0,0,0,0,0,0
Chile,CHL,3227234.848,5137903.762,6830576.558,6656810.074,6977884.071,7335231.138,7655568.157,7895342.031,7966034.908,8081363.681,8116459.673,8171244.472
China,CHN,5652.484412,13704.32165,29431.66371,32038.43494,35275.31029,38454.62252,41274.12736,44256.98231,47246.88597,50251.02411,53328.29824,56690.09663
Colombia,COL,6390668.771,7047849.124,8947220.167,8991927.349,9246877.108,9752439.338,10044052.58,10430923.22,10786930.03,11015474.87,11142402.96,11244147.25
