CountryName,CountryCode,Y1990,Y2000,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
Afghanistan,AFG,0,0,0,0,3.461960077,3.437849998,2.524410009,3.471709967,3.777590036,3.242019892,0,0
Albania,ALB,0,3.286920071,0,0,0,0,0,3.539299965,0,3.453639984,0,0
Algeria,DZA,0,0,4.33701992,0,0,0,0,0,0,0,0,0
American Samoa,ASM,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,AND,0,0,2.930069923,3.154839993,3.057420015,3.14508009,0,2.438070059,2.997809887,3.253679991,3.278110027,0
Angola,AGO,0,2.607530117,0,0,3.476439953,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,0,0,0,2.517240047,0,0,0,0,0,0,0,0
Arab World,ARB,0,0,4.282284975,0,0,0,0,0,0,0,0,0
Argentina,ARG,1.067379951,4.580309868,4.844409943,5.531050205,5.019710064,5.290629864,5.345829964,5.436610222,5.361440182,5.87526989,0,0
Armenia,ARM,0,2.772730112,3.172729969,3.840790033,3.249000072,3.143850088,2.772480011,2.650180101,2.247240067,2.80591011,2.751290083,0
Aruba,ABW,0,4.714680195,4.915589809,5.924670219,6.712490082,6.036870003,6.549059868,6.808060169,6.162930012,6.479060173,0,0
Australia,AUS,4.665840149,4.888840199,4.631869793,5.089320183,5.565899849,5.096749783,4.894189835,5.259789944,5.192669868,0,0,0
Austria,AUT,4.957250118,5.588809967,5.263959885,5.730249882,5.700479984,5.592269897,5.480400085,5.547110081,5.448979855,0,0,0
Azerbaijan,AZE,0,3.853990078,2.44092989,3.224309921,2.780620098,2.435640097,2.067610025,2.442130089,2.633039951,2.951679945,0,0
Bahamas,BHS,0,2.849989891,0,0,0,0,0,0,0,0,0,0
Bahrain,BHR,0,0,2.496779919,0,0,0,2.645309925,2.476880074,2.467459917,2.668080091,2.664520025,0
Bangladesh,BGD,1.519119978,2.125080109,2.05456996,1.939419985,0,2.132699966,2.175499916,1.966160059,0,0,2.500319958,0
Barbados,BRB,0,4.621510029,5.086100101,5.313509941,6.097340107,0,5.258900166,5.097740173,6.229410172,0,5.092720032,0
Belarus,BLR,0,6.196619987,0,4.516719818,5.220039845,4.684790134,4.959640026,5.009419918,4.818309784,4.787519932,4.979459763,0
Belgium,BEL,0,0,6.291389942,6.415359974,6.407989979,6.378739834,0,6.639659882,6.596849918,0,0,0
Belize,BLZ,0,5.028429985,5.687759876,6.100140095,6.620999813,0,0,6.218269825,6.474110126,6.712490082,0,7.409230232
