CountryName,CountryCode,Y1990,Y2000,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
Afghanistan,AFG,0,0,0,0,0,0,0,0,0,0,0,0
Albania,ALB,0,97.07321167,92.83022308,91.51228333,89.23734283,93.27700806,98.91169739,90.97441101,105.002121,104.4681931,105.6041031,0
Algeria,DZA,77.01406097,79.73745728,113.036438,91.83434296,95.53891754,97.56832123,101.4501801,105.9131699,108.2808533,105.4364166,105.4468765,0
American Samoa,ASM,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,AND,0,0,0,0,0,0,0,0,0,0,0,0
Angola,AGO,0,0,39.27019119,38.83917999,39.80641937,46.08610916,0,0,0,0,0,0
Antigua and Barbuda,ATG,0,0,95.27696991,88.08560181,93.78237915,91.06112671,0,0,92.81083679,76.87277222,0,0
Arab World,ARB,68.91236877,74.81661987,84.76885223,83.39543915,85.17182159,85.82782745,87.21676636,84.70348358,85.31481171,84.7203064,83.91194916,0
Argentina,ARG,0,98.49373627,105.0634995,104.9859467,104.8095322,104.4237137,103.231369,100.8828888,101.8107605,101.4801865,0,0
Armenia,ARM,0,0,105.7900238,0,0,0,0,0,0,94.36654663,90.38732147,0
Aruba,ABW,0,97.14286041,95.13303375,96.2425766,94.78610229,0,0,96.57064056,101.1805573,0,0,0
Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0
Austria,AUT,0,0,0,0,0,96.77201843,96.62232208,97.4384079,98.45986176,100.1809998,99.65672302,0
Azerbaijan,AZE,0,89.51351166,90.73683167,91.77172089,89.51445007,92.80683136,91.99118805,88.08940887,98.12570953,103.2802124,111.3019104,0
Bahamas,BHS,0,0,101.1567688,99.94811249,93.11499023,0,0,0,0,0,98.74376678,0
Bahrain,BHR,0,98.78814697,0,0,0,89.47138214,93.21469116,94.44687653,96.60569763,98.7109375,99.51364899,0
Bangladesh,BGD,0,0,57.1679306,63.35509872,65.58007813,73.30834961,0,91.15059662,0,98.07203674,0,0
Barbados,BRB,0,98.39069366,94.60025787,95.74748993,95.61657715,98.21896362,0,0,0,0,0,0
Belarus,BLR,94.5044632,101.6339035,98.54519653,105.2223892,106.2776794,107.1416931,103.3216324,99.57215881,98.21012878,96.75592804,97.35472107,0
Belgium,BEL,0,0,0,0,0,0,0,0,0,0,0,0
Belize,BLZ,0,100.0334091,94.95664215,99.73687744,100.78125,104.0056915,108.0991287,101.7245789,102.1257782,104.4042816,105.6774216,0
Benin,BEN,18.79125023,37.80432892,63.67050171,0,66.71160889,71.6880188,73.04138184,78.60623932,79.45533752,81.14125824,0,0
Bermuda,BMU,0,0,0,0,99.8757782,90.70632172,87.79284668,88.94348907,79.31034088,81.19551849,0,0
Bhutan,BTN,0,49.50093842,78.40036011,80.54728699,86.73383331,88.0969696,97.69799042,95.20152283,94.74519348,0,97.41589355,0
Bolivia,BOL,0,0,0,0,0,97.77040863,98.7399826,96.0115509,92.40763855,90.46405029,91.31645203,0
Bosnia and Herzegovina,BIH,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,BWA,88.32362366,93.73610687,97.04065704,98.10179138,0,0,100.8900681,101.9577179,69.18363953,0,0,0
Brazil,BRA,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands,VGB,0,0,0,69.93602753,0,78.41880035,84.04254913,88.32272339,77.52101135,88.14968872,0,0
Brunei Darussalam,BRN,0,114.8081512,105.3637085,101.9778366,105.3538895,110.9297409,106.9931107,106.1085281,100.1322632,102.0652466,0,0
Bulgaria,BGR,99.10794067,96.16507721,95.0979538,101.6857681,113.3530502,110.2471771,101.9401093,99.16464996,98.44125366,97.51863861,94.63205719,0
Burkina Faso,BFA,19.49580002,25.42222023,38.86925888,43.91450882,47.05522156,0,57.36603165,62.34418869,60.84962845,62.02993011,61.72433853,0
Burundi,BDI,41.88653183,24.92617035,42.34246063,49.0030899,52.08395004,56.9744606,63.9414711,72.20919037,71.32176971,66.42690277,69.79503632,0
Cabo Verde,CPV,59.5592804,104.5608063,96.42797852,91.52584839,93.67616272,88.5719223,89.85746765,85.0043869,87.82022858,89.09741211,85.34111023,0
Cambodia,KHM,0,0,85.94242096,83.30947876,85.19989777,87.48931885,93.21322632,94.21196747,96.66372681,95.53391266,92.43412781,0
Cameroon,CMR,56.97853088,50.58943176,71.8057785,71.53803253,73.58618927,72.63963318,76.29271698,0,74.79705048,76.22255707,75.4213028,0
Canada,CAN,0,97.3035202,0,0,0,0,0,0,0,0,0,0
Caribbean small states,CSS,94.9969635,91.22421265,91.18708038,92.36669922,91.29953003,92.13050079,92.56867218,92.28868103,0,0,0,0
Cayman Islands,CYM,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,CAF,30.10823059,0,35.05310822,37.60858917,39.7639389,41.58089828,43.73009872,0,0,0,42.15803146,0
Central Europe and the Baltics,CEB,93.06301117,95.98458862,94.2008667,95.26378632,96.92649078,97.26338196,96.1440506,96.55927277,96.26873016,97.05641937,97.0667038,0
Chad,TCD,16.54902077,22.19264984,0,31.16352081,30.95984077,34.08097076,34.59373093,37.92018127,0,0,0,0
Channel Islands,CHI,0,0,0,0,0,0,0,0,0,0,0,0
Chile,CHL,0,0,0,0,0,94.26261139,96.46617889,95.55191803,95.33039093,93.7303009,92.77760315,0
China,CHN,102.6747513,0,103.2322083,105.6682892,106.3222504,103.5986786,0,99.88661957,0,0,0,0
Colombia,COL,71.68119812,94.98593903,119.1849213,124.1054611,122.4401474,119.9354782,113.1915283,102.1082916,100.6018066,100.466423,101.3939285,0
Comoros,COM,0,0,73.32299805,0,0,0,0,74.69879913,77.67991638,0,0,0
"Congo, Dem. Rep.",COD,0,0,60.55133057,63.15652847,63.68167114,65.61437988,70.9484024,69.81462097,0,69.95410156,0,0
Congo,COG,58.80952072,0,68.58699799,67.56606293,67.3862915,73.70126343,70.30071259,0,0,0,0,0
Costa Rica,CRI,75.0598526,92.11181641,95.05980682,98.13117981,99.36927032,104.5382538,102.6313019,98.96479797,98.73825836,99.46630859,96.44022369,0
Cote d'Ivoire,CIV,41.47623062,43.22240067,0,46.11484909,0,53.78416824,55.30765915,54.31433105,56.18912125,62.1322403,65.91207886,0
Croatia,HRV,0,90.88205719,98.68225861,93.59487915,91.27465057,93.08901215,92.44882965,93.96871185,95.94373322,100.5362778,97.74315643,0
Cuba,CUB,93.87615967,96.27993774,88.06213379,96.05567169,96.42297363,97.81887054,96.87397766,95.85269928,100.3057327,99.3397522,0,0
Curacao,CUW,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,CYP,78.59986115,97.65950012,100.2462082,103.160408,99.31649017,101.7331009,100.0641403,98.3320694,99.82537842,96.81906128,0,0
